obs,icd10,icd10_label,valid_fy,valid_fy,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,mce_age_condition,mce_sex_condition,cc_age_split,cc_sex_split,cc,second_cc,third_cc,footnote
91,A5210,"Symptomatic neurosyphilis, unspecified",Y,Y,,,,,,,,,3.0,,,
92,A5211,Tabes dorsalis,Y,Y,,,,,,,,,3.0,,,
93,A5212,Other cerebrospinal syphilis,Y,Y,,,,,,,,,3.0,,,
94,A5213,Late syphilitic meningitis,Y,Y,,,,,,,,,3.0,,,
95,A5214,Late syphilitic encephalitis,Y,Y,,,,,,,,,3.0,,,
96,A5215,Late syphilitic neuropathy,Y,Y,,,,,,,,,3.0,,,
97,A5216,Charcot's arthropathy (tabetic),Y,Y,,,,,,,,,3.0,,,
98,A5217,General paresis,Y,Y,,,,,,,,,3.0,,,
99,A5219,Other symptomatic neurosyphilis,Y,Y,,,,,,,,,3.0,,,
100,A522,Asymptomatic neurosyphilis,Y,Y,,,,,,,,,3.0,,,
101,A523,"Neurosyphilis, unspecified",Y,Y,,,,,,,,,3.0,,,
102,A5440,"Gonococcal infection of musculoskeletal system, unspecified",Y,Y,,,,,,,,,55.0,,,
103,A5441,Gonococcal spondylopathy,Y,Y,,,,,,,,,55.0,,,
104,A5442,Gonococcal arthritis,Y,Y,,,,,,,,,55.0,,,
105,A5443,Gonococcal osteomyelitis,Y,Y,,,,,,,,,55.0,,,
106,A5449,Gonococcal infection of other musculoskeletal tissue,Y,Y,,,,,,,,,55.0,,,
107,A5481,Gonococcal meningitis,Y,Y,,,,,,,,,3.0,,,
108,A5482,Gonococcal brain abscess,Y,Y,,,,,,,,,3.0,,,
109,A5483,Gonococcal heart infection,Y,Y,,,,,,,,,135.0,,,
110,A5485,Gonococcal peritonitis,Y,Y,,,,,,,,,42.0,,,
111,A5486,Gonococcal sepsis,Y,Y,,,,,,,,,2.0,,,
112,A666,Bone and joint lesions of yaws,Y,Y,,,,,,,,,55.0,,,
113,A6921,Meningitis due to Lyme disease,Y,Y,,,,,,,,,3.0,,,
114,A6923,Arthritis due to Lyme disease,Y,Y,,,,,,,,,55.0,,,
115,A800,"Acute paralytic poliomyelitis, vaccine-associated",Y,Y,,,,,,,,,3.0,,,
116,A801,"Acute paralytic poliomyelitis, wild virus, imported",Y,Y,,,,,,,,,3.0,,,
117,A802,"Acute paralytic poliomyelitis, wild virus, indigenous",Y,Y,,,,,,,,,3.0,,,
118,A8030,"Acute paralytic poliomyelitis, unspecified",Y,Y,,,,,,,,,3.0,,,
119,A8039,Other acute paralytic poliomyelitis,Y,Y,,,,,,,,,3.0,,,
120,A804,Acute nonparalytic poliomyelitis,Y,Y,,,,,,,,,3.0,,,
121,A809,"Acute poliomyelitis, unspecified",Y,Y,,,,,,,,,3.0,,,
122,A820,Sylvatic rabies,Y,Y,,,,,,,,,3.0,,,
123,A821,Urban rabies,Y,Y,,,,,,,,,3.0,,,
124,A829,"Rabies, unspecified",Y,Y,,,,,,,,,3.0,,,
125,A830,Japanese encephalitis,Y,Y,,,,,,,,,3.0,,,
126,A831,Western equine encephalitis,Y,Y,,,,,,,,,3.0,,,
127,A832,Eastern equine encephalitis,Y,Y,,,,,,,,,3.0,,,
128,A833,St Louis encephalitis,Y,Y,,,,,,,,,3.0,,,
129,A834,Australian encephalitis,Y,Y,,,,,,,,,3.0,,,
130,A835,California encephalitis,Y,Y,,,,,,,,,3.0,,,
131,A836,Rocio virus disease,Y,Y,,,,,,,,,3.0,,,
132,A838,Other mosquito-borne viral encephalitis,Y,Y,,,,,,,,,3.0,,,
133,A839,"Mosquito-borne viral encephalitis, unspecified",Y,Y,,,,,,,,,3.0,,,
134,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Y,Y,,,,,,,,,3.0,,,
135,A841,Central European tick-borne encephalitis,Y,Y,,,,,,,,,3.0,,,
136,A8481,Powassan virus disease,Y,Y,,,,,,,,,3.0,,,
137,A8489,Other tick-borne viral encephalitis,Y,Y,,,,,,,,,3.0,,,
138,A849,"Tick-borne viral encephalitis, unspecified",Y,Y,,,,,,,,,3.0,,,
139,A850,Enteroviral encephalitis,Y,Y,,,,,,,,,3.0,,,
140,A851,Adenoviral encephalitis,Y,Y,,,,,,,,,3.0,,,
141,A852,"Arthropod-borne viral encephalitis, unspecified",Y,Y,,,,,,,,,3.0,,,
142,A858,Other specified viral encephalitis,Y,Y,,,,,,,,,3.0,,,
143,A86,Unspecified viral encephalitis,Y,Y,,,,,,,,,3.0,,,
144,A870,Enteroviral meningitis,Y,Y,,,,,,,,,4.0,,,
145,A871,Adenoviral meningitis,Y,Y,,,,,,,,,4.0,,,
146,A872,Lymphocytic choriomeningitis,Y,Y,,,,,,,,,4.0,,,
147,A878,Other viral meningitis,Y,Y,,,,,,,,,4.0,,,
148,A879,"Viral meningitis, unspecified",Y,Y,,,,,,,,,4.0,,,
149,A880,Enteroviral exanthematous fever [Boston exanthem],Y,Y,,,,,,,,,4.0,,,
150,A888,Other specified viral infections of central nervous system,Y,Y,,,,,,,,,3.0,,,
151,A89,Unspecified viral infection of central nervous system,Y,Y,,,,,,,,,3.0,,,
152,A922,Venezuelan equine fever,Y,Y,,,,,,,,,3.0,,,
153,A9230,"West Nile virus infection, unspecified",Y,Y,,,,,,,,,3.0,,,
154,A9231,West Nile virus infection with encephalitis,Y,Y,,,,,,,,,3.0,,,
155,A9232,West Nile virus infection with other neurologic manifestation,Y,Y,,,,,,,,,3.0,,,
156,A9239,West Nile virus infection with other complications,Y,Y,,,,,,,,,3.0,,,
157,B003,Herpesviral meningitis,Y,Y,,,,,,,,,4.0,,,
158,B004,Herpesviral encephalitis,Y,Y,,,,,,,,,3.0,,,
159,B007,Disseminated herpesviral disease,Y,Y,,,,,,,,,2.0,,,
160,B0082,Herpes simplex myelitis,Y,Y,,,,,,,,,110.0,,,
161,B010,Varicella meningitis,Y,Y,,,,,,,,,4.0,,,
162,B0111,Varicella encephalitis and encephalomyelitis,Y,Y,,,,,,,,,3.0,,,
163,B0112,Varicella myelitis,Y,Y,,,,,,,,,110.0,,,
164,B020,Zoster encephalitis,Y,Y,,,,,,,,,3.0,,,
165,B021,Zoster meningitis,Y,Y,,,,,,,,,4.0,,,
166,B0224,Postherpetic myelitis,Y,Y,,,,,,,,,110.0,,,
167,B050,Measles complicated by encephalitis,Y,Y,,,,,,,,,3.0,,,
168,B051,Measles complicated by meningitis,Y,Y,,,,,,,,,4.0,,,
169,B0601,Rubella encephalitis,Y,Y,,,,,,,,,3.0,,,
170,B0602,Rubella meningitis,Y,Y,,,,,,,,,4.0,,,
171,B0682,Rubella arthritis,Y,Y,,,,,,,,,55.0,,,
172,B1001,Human herpesvirus 6 encephalitis,Y,Y,,,,,,,,,3.0,,,
173,B1009,Other human herpesvirus encephalitis,Y,Y,,,,,,,,,3.0,,,
174,B150,Hepatitis A with hepatic coma,Y,Y,,,,,,,,,35.1,,,
175,B160,Acute hepatitis B with delta-agent with hepatic coma,Y,Y,,,,,,,,,35.1,,,
176,B162,Acute hepatitis B without delta-agent with hepatic coma,Y,Y,,,,,,,,,35.1,,,
177,B1711,Acute hepatitis C with hepatic coma,Y,Y,,,,,,,,,35.1,,,
178,B180,Chronic viral hepatitis B with delta-agent,Y,Y,,,,,,,,,37.2,,,
179,B181,Chronic viral hepatitis B without delta-agent,Y,Y,,,,,,,,,37.2,,,
180,B182,Chronic viral hepatitis C,Y,Y,,,,,,,,,37.1,,,
181,B188,Other chronic viral hepatitis,Y,Y,,,,,,,,,37.2,,,
182,B189,"Chronic viral hepatitis, unspecified",Y,Y,,,,,,,,,37.2,,,
183,B190,Unspecified viral hepatitis with hepatic coma,Y,Y,,,,,,,,,35.1,,,
184,B1911,Unspecified viral hepatitis B with hepatic coma,Y,Y,,,,,,,,,35.1,,,
185,B1921,Unspecified viral hepatitis C with hepatic coma,Y,Y,,,,,,,,,35.1,,,
186,B20,Human immunodeficiency virus [HIV] disease,Y,Y,,,,,,,,,1.0,,,
187,B250,Cytomegaloviral pneumonitis,Y,Y,,,,,,,,,6.0,,,
188,B251,Cytomegaloviral hepatitis,Y,Y,,,,,,,,,6.0,,,
189,B252,Cytomegaloviral pancreatitis,Y,Y,,,,,,,,,6.0,47,,
190,B258,Other cytomegaloviral diseases,Y,Y,,,,,,,,,6.0,,,
191,B259,"Cytomegaloviral disease, unspecified",Y,Y,,,,,,,,,6.0,,,
192,B261,Mumps meningitis,Y,Y,,,,,,,,,4.0,,,
193,B262,Mumps encephalitis,Y,Y,,,,,,,,,3.0,,,
194,B263,Mumps pancreatitis,Y,Y,,,,,,,,,47.0,,,
195,B2682,Mumps myocarditis,Y,Y,,,,,,,,,135.0,,,
196,B2685,Mumps arthritis,Y,Y,,,,,,,,,55.0,,,
197,B2702,Gammaherpesviral mononucleosis with meningitis,Y,Y,,,,,,,,,4.0,,,
198,B2712,Cytomegaloviral mononucleosis with meningitis,Y,Y,,,,,,,,,4.0,,,
199,B2782,Other infectious mononucleosis with meningitis,Y,Y,,,,,,,,,4.0,,,
200,B2792,"Infectious mononucleosis, unspecified with meningitis",Y,Y,,,,,,,,,4.0,,,
201,B3320,"Viral carditis, unspecified",Y,Y,,,,,,,,,135.0,,,
202,B3321,Viral endocarditis,Y,Y,,,,,,,,,135.0,,,
203,B3322,Viral myocarditis,Y,Y,,,,,,,,,135.0,,,
204,B3323,Viral pericarditis,Y,Y,,,,,,,,,135.0,,,
205,B3324,Viral cardiomyopathy,Y,Y,,,,,,,,,130.0,,,
206,B371,Pulmonary candidiasis,Y,Y,,,,,,,,,6.0,,,
207,B375,Candidal meningitis,Y,Y,,,,,,,,,3.0,,,
208,B376,Candidal endocarditis,Y,Y,,,,,,,,,135.0,,,
209,B377,Candidal sepsis,Y,Y,,,,,,,,,2.0,6,,
210,B3781,Candidal esophagitis,Y,Y,,,,,,,,,6.0,,,
211,B380,Acute pulmonary coccidioidomycosis,Y,Y,,,,,,,,,163.0,,,
212,B381,Chronic pulmonary coccidioidomycosis,Y,Y,,,,,,,,,163.0,,,
213,B382,"Pulmonary coccidioidomycosis, unspecified",Y,Y,,,,,,,,,163.0,,,
214,B384,Coccidioidomycosis meningitis,Y,Y,,,,,,,,,3.0,,,
215,B390,Acute pulmonary histoplasmosis capsulati,Y,Y,,,,,,,,,163.0,,,
216,B391,Chronic pulmonary histoplasmosis capsulati,Y,Y,,,,,,,,,163.0,,,
217,B392,"Pulmonary histoplasmosis capsulati, unspecified",Y,Y,,,,,,,,,163.0,,,
218,B400,Acute pulmonary blastomycosis,Y,Y,,,,,,,,,163.0,,,
219,B401,Chronic pulmonary blastomycosis,Y,Y,,,,,,,,,163.0,,,
220,B402,"Pulmonary blastomycosis, unspecified",Y,Y,,,,,,,,,163.0,,,
221,B4081,Blastomycotic meningoencephalitis,Y,Y,,,,,,,,,3.0,,,
222,B410,Pulmonary paracoccidioidomycosis,Y,Y,,,,,,,,,163.0,,,
223,B4281,Cerebral sporotrichosis,Y,Y,,,,,,,,,3.0,,,
224,B4282,Sporotrichosis arthritis,Y,Y,,,,,,,,,55.0,,,
225,B431,Pheomycotic brain abscess,Y,Y,,,,,,,,,3.0,,,
226,B440,Invasive pulmonary aspergillosis,Y,Y,,,,,,,,,6.0,,,
227,B441,Other pulmonary aspergillosis,Y,Y,,,,,,,,,6.0,,,
228,B442,Tonsillar aspergillosis,Y,Y,,,,,,,,,6.0,,,
229,B447,Disseminated aspergillosis,Y,Y,,,,,,,,,6.0,,,
230,B4481,Allergic bronchopulmonary aspergillosis,Y,Y,,,,,,,,,162.0,,,
231,B4489,Other forms of aspergillosis,Y,Y,,,,,,,,,6.0,,,
232,B449,"Aspergillosis, unspecified",Y,Y,,,,,,,,,6.0,,,
233,B450,Pulmonary cryptococcosis,Y,Y,,,,,,,,,6.0,,,
234,B451,Cerebral cryptococcosis,Y,Y,,,,,,,,,6.0,,,
235,B452,Cutaneous cryptococcosis,Y,Y,,,,,,,,,6.0,,,
236,B453,Osseous cryptococcosis,Y,Y,,,,,,,,,6.0,,,
237,B457,Disseminated cryptococcosis,Y,Y,,,,,,,,,6.0,,,
238,B458,Other forms of cryptococcosis,Y,Y,,,,,,,,,6.0,,,
239,B459,"Cryptococcosis, unspecified",Y,Y,,,,,,,,,6.0,,,
240,B460,Pulmonary mucormycosis,Y,Y,,,,,,,,,6.0,,,
241,B461,Rhinocerebral mucormycosis,Y,Y,,,,,,,,,6.0,,,
242,B462,Gastrointestinal mucormycosis,Y,Y,,,,,,,,,6.0,,,
243,B463,Cutaneous mucormycosis,Y,Y,,,,,,,,,6.0,,,
244,B464,Disseminated mucormycosis,Y,Y,,,,,,,,,6.0,,,
245,B465,"Mucormycosis, unspecified",Y,Y,,,,,,,,,6.0,,,
246,B468,Other zygomycoses,Y,Y,,,,,,,,,6.0,,,
247,B469,"Zygomycosis, unspecified",Y,Y,,,,,,,,,6.0,,,
248,B484,Penicillosis,Y,Y,,,,,,,,,6.0,,,
249,B488,Other specified mycoses,Y,Y,,,,,,,,,6.0,,,
250,B5741,Meningitis in Chagas' disease,Y,Y,,,,,,,,,3.0,,,
251,B5742,Meningoencephalitis in Chagas' disease,Y,Y,,,,,,,,,3.0,,,
252,B582,Toxoplasma meningoencephalitis,Y,Y,,,,,,,,,6.0,,,
253,B583,Pulmonary toxoplasmosis,Y,Y,,,,,,,,,6.0,,,
254,B5881,Toxoplasma myocarditis,Y,Y,,,,,,,,,135.0,,,
255,B59,Pneumocystosis,Y,Y,,,,,,,,,6.0,,,
256,B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni),Y,Y,,,,,,,,,3.0,,,
257,B664,Paragonimiasis,Y,Y,,,,,,,,,163.0,,,
258,B671,Echinococcus granulosus infection of lung,Y,Y,,,,,,,,,163.0,,,
259,B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",Y,Y,,,,,,,,,1.0,,,
260,C01,Malignant neoplasm of base of tongue,Y,Y,,,,,,,,,11.0,,,
261,C020,Malignant neoplasm of dorsal surface of tongue,Y,Y,,,,,,,,,11.0,,,
262,C021,Malignant neoplasm of border of tongue,Y,Y,,,,,,,,,11.0,,,
263,C022,Malignant neoplasm of ventral surface of tongue,Y,Y,,,,,,,,,11.0,,,
264,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Y,Y,,,,,,,,,11.0,,,
265,C024,Malignant neoplasm of lingual tonsil,Y,Y,,,,,,,,,11.0,,,
266,C028,Malignant neoplasm of overlapping sites of tongue,Y,Y,,,,,,,,,11.0,,,
267,C029,"Malignant neoplasm of tongue, unspecified",Y,Y,,,,,,,,,11.0,,,
268,C030,Malignant neoplasm of upper gum,Y,Y,,,,,,,,,11.0,,,
269,C031,Malignant neoplasm of lower gum,Y,Y,,,,,,,,,11.0,,,
270,C039,"Malignant neoplasm of gum, unspecified",Y,Y,,,,,,,,,11.0,,,
271,C040,Malignant neoplasm of anterior floor of mouth,Y,Y,,,,,,,,,11.0,,,
272,C041,Malignant neoplasm of lateral floor of mouth,Y,Y,,,,,,,,,11.0,,,
273,C048,Malignant neoplasm of overlapping sites of floor of mouth,Y,Y,,,,,,,,,11.0,,,
274,C049,"Malignant neoplasm of floor of mouth, unspecified",Y,Y,,,,,,,,,11.0,,,
275,C050,Malignant neoplasm of hard palate,Y,Y,,,,,,,,,11.0,,,
276,C051,Malignant neoplasm of soft palate,Y,Y,,,,,,,,,11.0,,,
277,C052,Malignant neoplasm of uvula,Y,Y,,,,,,,,,11.0,,,
278,C058,Malignant neoplasm of overlapping sites of palate,Y,Y,,,,,,,,,11.0,,,
279,C059,"Malignant neoplasm of palate, unspecified",Y,Y,,,,,,,,,11.0,,,
280,C060,Malignant neoplasm of cheek mucosa,Y,Y,,,,,,,,,11.0,,,
281,C061,Malignant neoplasm of vestibule of mouth,Y,Y,,,,,,,,,11.0,,,
282,C062,Malignant neoplasm of retromolar area,Y,Y,,,,,,,,,11.0,,,
283,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Y,Y,,,,,,,,,11.0,,,
284,C0689,Malignant neoplasm of overlapping sites of other parts of mouth,Y,Y,,,,,,,,,11.0,,,
285,C069,"Malignant neoplasm of mouth, unspecified",Y,Y,,,,,,,,,11.0,,,
286,C07,Malignant neoplasm of parotid gland,Y,Y,,,,,,,,,11.0,,,
287,C080,Malignant neoplasm of submandibular gland,Y,Y,,,,,,,,,11.0,,,
288,C081,Malignant neoplasm of sublingual gland,Y,Y,,,,,,,,,11.0,,,
289,C089,"Malignant neoplasm of major salivary gland, unspecified",Y,Y,,,,,,,,,11.0,,,
290,C090,Malignant neoplasm of tonsillar fossa,Y,Y,,,,,,,,,11.0,,,
291,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Y,Y,,,,,,,,,11.0,,,
292,C098,Malignant neoplasm of overlapping sites of tonsil,Y,Y,,,,,,,,,11.0,,,
293,C099,"Malignant neoplasm of tonsil, unspecified",Y,Y,,,,,,,,,11.0,,,
294,C100,Malignant neoplasm of vallecula,Y,Y,,,,,,,,,11.0,,,
295,C101,Malignant neoplasm of anterior surface of epiglottis,Y,Y,,,,,,,,,11.0,,,
296,C102,Malignant neoplasm of lateral wall of oropharynx,Y,Y,,,,,,,,,11.0,,,
297,C103,Malignant neoplasm of posterior wall of oropharynx,Y,Y,,,,,,,,,11.0,,,
298,C104,Malignant neoplasm of branchial cleft,Y,Y,,,,,,,,,11.0,,,
299,C108,Malignant neoplasm of overlapping sites of oropharynx,Y,Y,,,,,,,,,11.0,,,
300,C109,"Malignant neoplasm of oropharynx, unspecified",Y,Y,,,,,,,,,11.0,,,
301,C110,Malignant neoplasm of superior wall of nasopharynx,Y,Y,,,,,,,,,11.0,,,
302,C111,Malignant neoplasm of posterior wall of nasopharynx,Y,Y,,,,,,,,,11.0,,,
303,C112,Malignant neoplasm of lateral wall of nasopharynx,Y,Y,,,,,,,,,11.0,,,
304,C113,Malignant neoplasm of anterior wall of nasopharynx,Y,Y,,,,,,,,,11.0,,,
305,C118,Malignant neoplasm of overlapping sites of nasopharynx,Y,Y,,,,,,,,,11.0,,,
306,C119,"Malignant neoplasm of nasopharynx, unspecified",Y,Y,,,,,,,,,11.0,,,
307,C12,Malignant neoplasm of pyriform sinus,Y,Y,,,,,,,,,11.0,,,
308,C130,Malignant neoplasm of postcricoid region,Y,Y,,,,,,,,,11.0,,,
309,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Y,Y,,,,,,,,,11.0,,,
310,C132,Malignant neoplasm of posterior wall of hypopharynx,Y,Y,,,,,,,,,11.0,,,
311,C138,Malignant neoplasm of overlapping sites of hypopharynx,Y,Y,,,,,,,,,11.0,,,
312,C139,"Malignant neoplasm of hypopharynx, unspecified",Y,Y,,,,,,,,,11.0,,,
313,C140,"Malignant neoplasm of pharynx, unspecified",Y,Y,,,,,,,,,11.0,,,
314,C142,Malignant neoplasm of Waldeyer's ring,Y,Y,,,,,,,,,11.0,,,
315,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Y,Y,,,,,,,,,11.0,,,
316,C153,Malignant neoplasm of upper third of esophagus,Y,Y,,,,,,,,,9.0,,,
317,C154,Malignant neoplasm of middle third of esophagus,Y,Y,,,,,,,,,9.0,,,
318,C155,Malignant neoplasm of lower third of esophagus,Y,Y,,,,,,,,,9.0,,,
319,C158,Malignant neoplasm of overlapping sites of esophagus,Y,Y,,,,,,,,,9.0,,,
320,C159,"Malignant neoplasm of esophagus, unspecified",Y,Y,,,,,,,,,9.0,,,
321,C160,Malignant neoplasm of cardia,Y,Y,,,,,,,,,9.0,,,
322,C161,Malignant neoplasm of fundus of stomach,Y,Y,,,,,,,,,9.0,,,
323,C162,Malignant neoplasm of body of stomach,Y,Y,,,,,,,,,9.0,,,
324,C163,Malignant neoplasm of pyloric antrum,Y,Y,,,,,,,,,9.0,,,
325,C164,Malignant neoplasm of pylorus,Y,Y,,,,,,,,,9.0,,,
326,C165,"Malignant neoplasm of lesser curvature of stomach, unspecified",Y,Y,,,,,,,,,9.0,,,
327,C166,"Malignant neoplasm of greater curvature of stomach, unspecified",Y,Y,,,,,,,,,9.0,,,
