model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,HHS_HCC102,Yes,1.034,0.939,0.838,0.739,0.735
Adult,HHS_HCC103,Yes,0.847,0.753,0.647,0.536,0.532
Adult,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC110,Yes,5.08,4.868,4.778,4.718,4.716
Adult,HHS_HCC111,Yes,4.804,4.625,4.519,4.424,4.421
Adult,HHS_HCC112,Yes,1.332,1.15,1.043,0.95,0.947
Adult,HHS_HCC113,Yes,0.655,0.574,0.497,0.419,0.417
Adult,HHS_HCC114,Yes,1.381,1.278,1.199,1.12,1.118
Adult,HHS_HCC115,Yes,5.14,5.033,4.993,4.969,4.968
Adult,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC118,Yes,1.963,1.829,1.741,1.659,1.656
Adult,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC120,Yes,1.173,1.061,0.974,0.892,0.889
Adult,HHS_HCC121,Yes,9.778,9.651,9.573,9.507,9.505
Adult,HHS_HCC122,Yes,10.04,9.859,9.762,9.685,9.682
Adult,HHS_HCC123,Yes,5.71,5.551,5.451,5.363,5.36
Adult,HHS_HCC125,Yes,19.636,19.402,19.298,19.235,19.234
Adult,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC130,Yes,2.157,2.053,1.998,1.956,1.955
Adult,HHS_HCC131,Yes,5.536,5.258,5.186,5.188,5.19
Adult,HHS_HCC132,Yes,4.287,4.035,3.942,3.901,3.901
Adult,HHS_HCC135,Yes,8.954,8.833,8.741,8.652,8.649
Adult,HHS_HCC137,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC138,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC139,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC142,Yes,1.98,1.86,1.772,1.686,1.688
Adult,HHS_HCC145,Yes,10.523,10.326,10.234,10.173,10.171
Adult,HHS_HCC146,Yes,1.432,1.306,1.241,1.195,1.194
Adult,HHS_HCC149,Yes,2.34,2.2,2.114,2.037,2.035
Adult,HHS_HCC150,Yes,3.422,3.28,3.238,3.23,3.231
Adult,HHS_HCC151,Yes,2.54,2.419,2.349,2.287,2.285
Adult,HHS_HCC153,Yes,7.708,7.537,7.515,7.546,7.547
Adult,HHS_HCC154,Yes,5.409,5.242,5.172,5.129,5.128
Adult,HHS_HCC156,Yes,7.584,7.47,7.369,7.258,7.253
Adult,HHS_HCC158,Yes,11.151,10.965,10.891,10.876,10.874
Adult,HHS_HCC159,Yes,5.579,5.369,5.265,5.195,5.193
Adult,HHS_HCC160,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_1,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_2,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC162,Yes,1.765,1.656,1.581,1.51,1.507
Adult,HHS_HCC163,Yes,5.932,5.949,5.984,6.02,6.021
Adult,HHS_HCC174,Yes,1.365,1.229,1.113,1.003,1.0
Adult,HHS_HCC183,Yes,6.045,5.98,5.984,6.02,6.021
Adult,HHS_HCC184,Yes,20.979,20.542,20.529,20.537,20.54
Adult,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC203,Yes,2.029,1.826,1.63,1.415,1.409
Adult,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC209,Yes,2.752,2.534,2.266,1.892,1.881
Adult,HHS_HCC210,Yes,0.997,0.868,0.695,0.496,0.489
Adult,HHS_HCC211,Yes,0.653,0.555,0.412,0.264,0.259
Adult,HHS_HCC212,Yes,0.085,0.039,0.0,0.0,0.0
Adult,HHS_HCC217,Yes,1.619,1.508,1.452,1.413,1.412
Adult,HHS_HCC218,Yes,22.367,22.109,22.009,21.957,21.955
Adult,HHS_HCC219,Yes,2.792,2.658,2.577,2.515,2.513
Adult,HHS_HCC223,Yes,17.057,16.879,16.774,16.689,16.686
Adult,HHS_HCC226,Yes,8.033,7.753,7.679,7.672,7.672
Adult,HHS_HCC228,Yes,4.501,4.312,4.206,4.117,4.115
Adult,HHS_HCC234,Yes,5.039,4.853,4.792,4.777,4.777
Adult,HHS_HCC251,Yes,21.119,21.111,21.064,21.027,21.026
Adult,HHS_HCC253,Yes,5.948,5.817,5.773,5.756,5.756
Adult,HHS_HCC254,Yes,1.474,1.347,1.284,1.244,1.244
Adult,G01,Yes,0.305,0.253,0.205,0.162,0.16
Adult,G02B,Yes,27.297,27.064,27.0,26.985,26.986
Adult,G04,Yes,2.312,2.156,2.064,1.988,1.985
Adult,G06A,Yes,12.233,12.099,12.047,12.013,12.01
Adult,G07A,Yes,2.351,2.242,2.164,2.096,2.093
Adult,G08,Yes,4.086,3.968,3.911,3.865,3.863
Adult,G09A,Yes,1.993,1.829,1.698,1.561,1.556
Adult,G09C,Yes,1.005,0.876,0.779,0.689,0.687
Adult,G10,Yes,9.171,8.978,8.882,8.814,8.812
Adult,G11,Yes,6.793,6.624,6.538,6.469,6.467
Adult,G12,Yes,1.64,1.528,1.435,1.339,1.335
Adult,G13,Yes,8.426,8.201,8.093,8.029,8.027
Adult,G14,Yes,18.901,18.73,18.647,18.621,18.624
Adult,G21,Yes,2.292,2.187,2.109,2.043,2.041
Adult,G15A,Yes,0.703,0.613,0.523,0.431,0.428
Adult,G16,Yes,0.761,0.675,0.651,0.635,0.633
Adult,G17A,Yes,0.748,0.65,0.509,0.325,0.317
Adult,G18A,Yes,3.882,3.578,3.308,3.023,3.017
Adult,SEVERE_HCC_COUNT1,Yes,-5.932,-5.949,-5.984,-6.02,-6.021
Adult,SEVERE_HCC_COUNT2,Yes,-5.403,-5.47,-5.504,-5.531,-5.531
Adult,SEVERE_HCC_COUNT3,Yes,-4.343,-4.388,-4.335,-4.244,-4.24
Adult,SEVERE_HCC_COUNT4,Yes,-3.631,-3.615,-3.46,-3.243,-3.234
Adult,SEVERE_HCC_COUNT5,Yes,-2.997,-2.89,-2.64,-2.326,-2.314
Adult,SEVERE_HCC_COUNT6,Yes,-2.707,-2.501,-2.162,-1.768,-1.754
Adult,SEVERE_HCC_COUNT7,Yes,-2.013,-1.634,-1.189,-0.714,-0.698
Adult,SEVERE_HCC_COUNT8,Yes,-1.879,-1.457,-0.988,-0.496,-0.479
Adult,SEVERE_HCC_COUNT9,Yes,-0.126,0.494,1.07,1.639,1.657
Adult,SEVERE_HCC_COUNT10PLUS,Yes,7.926,8.961,9.734,10.435,10.457
Adult,TRANSPLANT_HCC_COUNT4,Yes,4.203,4.122,4.061,3.946,3.942
Adult,TRANSPLANT_HCC_COUNT5,Yes,7.562,7.47,7.421,7.321,7.317
Adult,TRANSPLANT_HCC_COUNT6,Yes,13.706,13.624,13.586,13.503,13.499
Adult,TRANSPLANT_HCC_COUNT7,Yes,18.666,18.561,18.522,18.439,18.435
Adult,TRANSPLANT_HCC_COUNT8PLUS,Yes,33.829,33.853,33.886,33.855,33.852
Adult,HCC_ED1,Yes,9.348,7.984,6.959,6.027,5.995
Adult,HCC_ED2,Yes,4.521,3.808,3.265,2.807,2.792
Adult,HCC_ED3,Yes,2.949,2.471,2.098,1.796,1.787
Adult,HCC_ED4,Yes,1.837,1.504,1.234,1.017,1.01
Adult,HCC_ED5,Yes,1.348,1.1,0.893,0.722,0.717
Adult,HCC_ED6,Yes,0.952,0.767,0.607,0.471,0.466
Adult,RXC_01,Yes,8.08,7.445,7.089,6.763,6.756
Adult,RXC_02,Yes,7.337,6.835,6.703,6.727,6.731
Adult,RXC_03,Yes,0.103,0.094,0.086,0.063,0.039
Adult,RXC_04,Yes,1.49,1.607,1.567,1.642,1.63
Adult,RXC_05,Yes,1.7,1.574,1.367,1.157,1.149
Adult,RXC_06,Yes,1.537,1.34,1.141,0.952,0.945
Adult,RXC_07,Yes,0.812,0.706,0.582,0.432,0.427
Adult,RXC_08,Yes,22.766,21.76,21.387,21.195,21.194
Adult,RXC_09,Yes,16.493,15.865,15.676,15.713,15.715
Adult,RXC_10,Yes,16.685,16.283,16.191,16.197,16.2
Adult,RXC_01_x_HCC001,Yes,2.996,3.107,3.389,3.774,3.785
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,Yes,-0.636,-0.556,-0.49,-0.419,-0.417
Adult,RXC_03_x_HCC142,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_04_x_HCC184_183_187_188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_05_x_HCC048_041,Yes,-0.529,-0.478,-0.307,-0.202,-0.198
Adult,RXC_06_x_HCC018_019_020_021,Yes,0.396,0.447,0.524,0.571,0.574
Adult,RXC_07_x_HCC018_019_020_021,Yes,-0.305,-0.253,-0.205,-0.162,-0.16
Adult,RXC_08_x_HCC118,Yes,0.324,0.804,1.157,1.49,1.497
Adult,RXC_09_x_HCC056_057_and_048_041,Yes,0.898,0.993,0.857,0.92,0.922
Adult,RXC_09_x_HCC056,Yes,-1.186,-1.082,-0.996,-0.918,-0.915
Adult,RXC_09_x_HCC057,Yes,-0.539,-0.453,-0.355,-0.247,-0.244
Adult,RXC_09_x_HCC048_041,Yes,0.529,0.598,1.021,1.122,1.125
Adult,RXC_10_x_HCC159_158,Yes,48.995,49.045,49.149,49.264,49.267
Child,MAGE_LAST_2_4,Yes,0.269,0.195,0.144,0.105,0.104
Child,MAGE_LAST_5_9,Yes,0.192,0.13,0.091,0.064,0.063
Child,MAGE_LAST_10_14,Yes,0.227,0.165,0.122,0.096,0.095
Child,MAGE_LAST_15_20,Yes,0.266,0.2,0.148,0.111,0.11
Child,FAGE_LAST_2_4,Yes,0.21,0.147,0.107,0.08,0.079
Child,FAGE_LAST_5_9,Yes,0.142,0.087,0.055,0.034,0.033
Child,FAGE_LAST_10_14,Yes,0.211,0.151,0.112,0.086,0.086
Child,FAGE_LAST_15_20,Yes,0.295,0.215,0.15,0.102,0.101
Child,HHS_HCC001,Yes,6.079,5.588,5.395,5.284,5.282
Child,HHS_HCC002,Yes,14.363,14.145,14.018,13.928,13.927
Child,HHS_HCC003,Yes,13.069,12.896,12.804,12.743,12.741
Child,HHS_HCC004,Yes,10.692,10.648,10.612,10.582,10.581
Child,HHS_HCC006,Yes,16.437,16.372,16.29,16.199,16.196
Child,HHS_HCC008,Yes,30.906,30.616,30.514,30.467,30.467
Child,HHS_HCC009,Yes,8.469,8.204,8.06,7.951,7.948
Child,HHS_HCC010,Yes,7.068,6.837,6.698,6.583,6.58
Child,HHS_HCC011,Yes,4.676,4.522,4.409,4.305,4.301
Child,HHS_HCC012,Yes,4.676,4.522,4.409,4.305,4.301
Child,HHS_HCC013,Yes,0.886,0.771,0.663,0.557,0.554
Child,HHS_HCC018,Yes,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC023,Yes,18.256,18.124,18.055,18.009,18.007
Child,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC028,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC029,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC030,Yes,6.756,6.49,6.385,6.334,6.332
Child,HHS_HCC034,Yes,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC035_1,Yes,10.003,9.845,9.793,9.778,9.778
Child,HHS_HCC035_2,Yes,9.665,9.506,9.431,9.379,9.378
Child,HHS_HCC036,Yes,2.894,2.843,2.779,2.709,2.71
Child,HHS_HCC037_1,Yes,1.659,1.5,1.437,1.434,1.435
Child,HHS_HCC037_2,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC041,Yes,13.63,13.519,13.424,13.326,13.321
Child,HHS_HCC042,Yes,17.595,17.294,17.189,17.156,17.155
Child,HHS_HCC045,Yes,4.137,3.943,3.818,3.707,3.703
Child,HHS_HCC046,Yes,11.253,11.043,10.971,10.944,10.944
Child,HHS_HCC047,Yes,4.564,4.321,4.183,4.074,4.072
Child,HHS_HCC048,Yes,10.154,9.737,9.568,9.461,9.458
Child,HHS_HCC054,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC055,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC056,Yes,5.379,5.113,4.982,4.898,4.895
Child,HHS_HCC057,Yes,0.765,0.649,0.532,0.408,0.404
Child,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC063,Yes,1.07,0.917,0.79,0.667,0.664
Child,HHS_HCC066,Yes,72.571,72.059,71.903,71.851,71.851
Child,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC070,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC071,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC075,Yes,3.813,3.685,3.589,3.504,3.502
Child,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC087_1,Yes,4.245,3.948,3.771,3.63,3.626
Child,HHS_HCC087_2,Yes,3.409,3.158,2.98,2.816,2.812
Child,HHS_HCC088,Yes,2.512,2.306,2.145,1.993,1.988
Child,HHS_HCC090,Yes,0.381,0.293,0.194,0.102,0.099
Child,HHS_HCC094,Yes,2.458,2.287,2.172,2.07,2.067
Child,HHS_HCC096,Yes,11.422,11.316,11.236,11.163,11.16
Child,HHS_HCC097,Yes,0.988,0.86,0.765,0.673,0.669
Child,HHS_HCC102,Yes,2.512,2.306,2.145,1.993,1.988
Child,HHS_HCC103,Yes,0.381,0.293,0.194,0.102,0.099
Child,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC110,Yes,4.08,3.879,3.737,3.594,3.588
Child,HHS_HCC111,Yes,47.933,47.676,47.564,47.478,47.476
Child,HHS_HCC112,Yes,1.729,1.489,1.373,1.302,1.3
Child,HHS_HCC113,Yes,0.406,0.27,0.164,0.08,0.077
Child,HHS_HCC114,Yes,1.702,1.571,1.48,1.395,1.392
Child,HHS_HCC115,Yes,9.779,9.592,9.53,9.508,9.507
Child,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC118,Yes,12.054,11.613,11.489,11.464,11.465
Child,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC120,Yes,1.867,1.718,1.581,1.444,1.439
Child,HHS_HCC121,Yes,10.434,10.456,10.471,10.49,10.491
Child,HHS_HCC122,Yes,10.434,10.456,10.471,10.49,10.491
Child,HHS_HCC123,Yes,5.192,5.01,4.876,4.742,4.736
Child,HHS_HCC125,Yes,27.991,27.74,27.642,27.591,27.589
Child,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC130,Yes,5.079,4.957,4.879,4.815,4.812
Child,HHS_HCC131,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC132,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC135,Yes,16.066,15.931,15.841,15.76,15.758
Child,HHS_HCC137,Yes,3.678,3.511,3.379,3.262,3.258
Child,HHS_HCC138,Yes,1.168,1.058,0.941,0.839,0.836
Child,HHS_HCC139,Yes,0.667,0.568,0.475,0.401,0.399
Child,HHS_HCC142,Yes,2.887,2.721,2.615,2.526,2.523
Child,HHS_HCC145,Yes,12.012,11.831,11.719,11.625,11.621
Child,HHS_HCC146,Yes,1.179,1.016,0.918,0.831,0.828
Child,HHS_HCC149,Yes,1.578,1.375,1.247,1.134,1.131
Child,HHS_HCC150,Yes,4.98,4.848,4.766,4.691,4.688
Child,HHS_HCC151,Yes,2.963,2.811,2.71,2.614,2.611
Child,HHS_HCC153,Yes,12.005,11.753,11.638,11.57,11.567
Child,HHS_HCC154,Yes,6.543,6.389,6.331,6.296,6.295
Child,HHS_HCC156,Yes,20.06,19.901,19.803,19.721,19.718
Child,HHS_HCC158,Yes,13.63,13.519,13.424,13.326,13.321
Child,HHS_HCC159,Yes,53.97,53.425,53.285,53.267,53.268
Child,HHS_HCC160,Yes,2.042,1.884,1.76,1.641,1.637
Child,HHS_HCC161_1,Yes,1.236,1.07,0.911,0.755,0.749
Child,HHS_HCC161_2,Yes,0.34,0.26,0.173,0.1,0.097
Child,HHS_HCC162,Yes,1.407,1.263,1.126,0.998,0.994
Child,HHS_HCC163,Yes,10.492,10.456,10.471,10.49,10.491
Child,HHS_HCC183,Yes,11.147,10.995,10.948,10.906,10.905
Child,HHS_HCC184,Yes,35.177,34.921,34.865,34.867,34.867
Child,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC203,Yes,2.0,1.798,1.591,1.373,1.365
Child,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC209,Yes,2.352,2.125,1.829,1.386,1.369
Child,HHS_HCC210,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC211,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC212,Yes,0.384,0.282,0.162,0.056,0.052
Child,HHS_HCC217,Yes,2.095,1.988,1.905,1.842,1.84
Child,HHS_HCC218,Yes,19.98,19.736,19.623,19.551,19.548
Child,HHS_HCC219,Yes,2.016,1.858,1.737,1.632,1.628
Child,HHS_HCC223,Yes,19.98,19.736,19.623,19.551,19.548
Child,HHS_HCC226,Yes,4.053,3.817,3.674,3.575,3.573
Child,HHS_HCC228,Yes,4.037,3.829,3.673,3.526,3.521
Child,HHS_HCC234,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC251,Yes,13.63,13.519,13.424,13.326,13.321
Child,HHS_HCC253,Yes,7.194,7.002,6.944,6.925,6.926
Child,HHS_HCC254,Yes,0.0,0.0,0.0,0.0,0.0
Child,G01,Yes,2.582,2.32,2.054,1.777,1.771
Child,G02B,Yes,38.265,37.987,37.895,37.857,37.856
Child,G02D,Yes,5.543,5.422,5.343,5.278,5.276
Child,G03,Yes,3.304,3.091,2.97,2.884,2.882
Child,G04,Yes,1.169,1.054,0.966,0.888,0.885
Child,G06A,Yes,12.14,11.969,11.883,11.825,11.823
Child,G07A,Yes,4.829,4.619,4.494,4.397,4.394
Child,G08,Yes,4.861,4.707,4.618,4.546,4.544
Child,G09A,Yes,2.384,2.215,2.087,1.965,1.962
Child,G09C,Yes,0.91,0.76,0.622,0.527,0.524
Child,G10,Yes,9.418,9.174,9.066,9.004,9.003
Child,G11,Yes,8.841,8.595,8.497,8.441,8.44
Child,G12,Yes,5.811,5.647,5.539,5.44,5.437
Child,G13,Yes,15.409,15.142,15.014,14.936,14.935
Child,G14,Yes,13.63,13.519,13.424,13.326,13.321
Child,G23,Yes,0.514,0.454,0.421,0.401,0.401
Child,G16,Yes,0.992,0.898,0.814,0.728,0.724
Child,G17A,Yes,0.697,0.574,0.403,0.202,0.194
Child,G18A,Yes,3.397,3.083,2.773,2.395,2.383
Child,G19B,Yes,0.603,0.472,0.306,0.136,0.131
Child,G22,Yes,3.982,3.758,3.604,3.454,3.449
Child,SEVERE_HCC_COUNT1,Yes,-10.434,-10.456,-10.471,-10.49,-10.491
Child,SEVERE_HCC_COUNT2,Yes,-10.347,-10.401,-10.435,-10.468,-10.469
Child,SEVERE_HCC_COUNT3,Yes,-8.328,-8.39,-8.323,-8.235,-8.231
