model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,HHS_HCC160,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_1,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_2,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC162,Yes,1.669,1.555,1.476,1.396,1.394
Adult,HHS_HCC163,Yes,6.8,6.776,6.772,6.785,6.786
Adult,HHS_HCC174,Yes,1.41,1.25,1.133,1.006,1.002
Adult,HHS_HCC183,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC184,Yes,22.616,22.143,22.091,22.024,21.952
Adult,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC203,Yes,2.101,1.869,1.688,1.453,1.446
Adult,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC209,Yes,2.959,2.685,2.452,2.035,2.021
Adult,HHS_HCC210,Yes,0.925,0.787,0.614,0.411,0.403
Adult,HHS_HCC211,Yes,0.602,0.498,0.349,0.2,0.194
Adult,HHS_HCC212,Yes,0.045,0.011,0.0,0.0,0.0
Adult,HHS_HCC217,Yes,1.673,1.557,1.495,1.449,1.448
Adult,HHS_HCC218,Yes,24.045,23.796,23.67,23.616,23.615
Adult,HHS_HCC219,Yes,3.002,2.852,2.759,2.688,2.686
Adult,HHS_HCC223,Yes,19.211,19.023,18.906,18.816,18.812
Adult,HHS_HCC226,Yes,8.717,8.433,8.321,8.299,8.299
Adult,HHS_HCC228,Yes,4.629,4.43,4.311,4.209,4.206
Adult,HHS_HCC234,Yes,5.579,5.388,5.31,5.282,5.28
Adult,HHS_HCC251,Yes,19.317,19.299,19.253,19.203,19.204
Adult,HHS_HCC253,Yes,6.278,6.141,6.079,6.051,6.051
Adult,HHS_HCC254,Yes,1.275,1.144,1.078,1.03,1.028
Adult,G01,Yes,0.295,0.237,0.189,0.146,0.144
Adult,G02B,Yes,27.187,26.955,26.857,26.834,26.834
Adult,G04,Yes,2.273,2.113,2.012,1.922,1.919
Adult,G06A,Yes,12.434,12.293,12.226,12.181,12.177
Adult,G07A,Yes,2.115,2.003,1.925,1.852,1.849
Adult,G08,Yes,4.051,3.941,3.879,3.832,3.831
Adult,G09A,Yes,1.844,1.675,1.544,1.399,1.394
Adult,G09C,Yes,1.046,0.902,0.803,0.704,0.701
Adult,G10,Yes,9.999,9.801,9.692,9.611,9.609
Adult,G11,Yes,7.11,6.939,6.841,6.758,6.756
Adult,G12,Yes,1.561,1.445,1.353,1.252,1.248
Adult,G13,Yes,8.925,8.681,8.56,8.492,8.491
Adult,G14,Yes,19.352,19.182,19.086,19.034,19.039
Adult,G21,Yes,2.354,2.242,2.159,2.087,2.085
Adult,G15A,Yes,0.708,0.61,0.518,0.424,0.42
Adult,G16,Yes,0.754,0.654,0.624,0.599,0.588
Adult,G17A,Yes,0.735,0.627,0.487,0.297,0.289
Adult,G18A,Yes,4.112,3.743,3.511,3.184,3.177
Adult,G24,Yes,7.002,6.831,6.765,6.687,6.672
Adult,SEVERE_HCC_COUNT1,Yes,-6.481,-6.531,-6.579,-6.647,-6.649
Adult,SEVERE_HCC_COUNT2,Yes,-5.98,-6.064,-6.1,-6.138,-6.138
Adult,SEVERE_HCC_COUNT3,Yes,-4.874,-4.919,-4.88,-4.8,-4.797
Adult,SEVERE_HCC_COUNT4,Yes,-4.038,-4.01,-3.884,-3.675,-3.667
Adult,SEVERE_HCC_COUNT5,Yes,-3.255,-3.127,-2.917,-2.6,-2.589
Adult,SEVERE_HCC_COUNT6,Yes,-2.821,-2.566,-2.271,-1.865,-1.85
Adult,SEVERE_HCC_COUNT7,Yes,-2.043,-1.611,-1.209,-0.711,-0.695
Adult,SEVERE_HCC_COUNT8,Yes,-1.976,-1.496,-1.066,-0.544,-0.526
Adult,SEVERE_HCC_COUNT9,Yes,0.766,1.457,2.004,2.616,2.636
Adult,SEVERE_HCC_COUNT10PLUS,Yes,8.825,9.947,10.723,11.493,11.519
Adult,TRANSPLANT_HCC_COUNT4,Yes,4.029,3.981,3.935,3.854,3.847
Adult,TRANSPLANT_HCC_COUNT5,Yes,8.16,8.097,8.057,7.989,7.98
Adult,TRANSPLANT_HCC_COUNT6,Yes,15.312,15.232,15.196,15.14,15.128
Adult,TRANSPLANT_HCC_COUNT7,Yes,18.743,18.632,18.584,18.522,18.511
Adult,TRANSPLANT_HCC_COUNT8PLUS,Yes,36.031,36.054,36.081,36.066,36.056
Adult,HCC_ED1,Yes,10.88,9.15,8.099,7.149,7.117
Adult,HCC_ED2,Yes,5.224,4.342,3.782,3.305,3.288
Adult,HCC_ED3,Yes,3.367,2.788,2.4,2.08,2.07
Adult,HCC_ED4,Yes,2.219,1.818,1.536,1.309,1.301
Adult,HCC_ED5,Yes,1.636,1.339,1.121,0.944,0.938
Adult,HCC_ED6,Yes,1.088,0.869,0.701,0.561,0.556
Adult,RXC_01,Yes,5.647,5.055,4.669,4.306,4.296
Adult,RXC_02,Yes,8.662,8.116,7.936,7.952,7.956
Adult,RXC_03,Yes,0.091,0.083,0.075,0.058,0.035
Adult,RXC_04,Yes,1.008,1.204,1.125,1.295,1.411
Adult,RXC_05,Yes,1.467,1.314,1.155,0.93,0.92
Adult,RXC_06,Yes,1.429,1.215,1.022,0.841,0.834
Adult,RXC_07,Yes,0.789,0.673,0.549,0.375,0.369
Adult,RXC_08,Yes,16.266,15.334,14.88,14.547,14.531
Adult,RXC_09,Yes,12.396,11.784,11.558,11.525,11.527
Adult,RXC_10,Yes,15.054,14.632,14.479,14.44,14.44
Adult,RXC_01_x_HCC001,Yes,2.048,2.149,2.376,2.748,2.761
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,Yes,-0.528,-0.451,-0.389,-0.324,-0.322
Adult,RXC_03_x_HCC142,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_04_x_HCC184_183_187_188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_05_x_HCC048_041,Yes,-0.469,-0.365,-0.266,-0.146,-0.142
Adult,RXC_06_x_HCC018_019_020_021,Yes,0.434,0.492,0.567,0.578,0.58
Adult,RXC_07_x_HCC018_019_020_021,Yes,-0.295,-0.237,-0.189,-0.146,-0.144
Adult,RXC_08_x_HCC118,Yes,0.947,1.38,1.709,2.146,2.168
Adult,RXC_09_x_HCC056_057_and_048_041,Yes,0.287,0.347,0.387,0.425,0.426
Adult,RXC_09_x_HCC056,Yes,-1.073,-0.964,-0.876,-0.795,-0.792
Adult,RXC_09_x_HCC057,Yes,-0.467,-0.376,-0.28,-0.173,-0.168
Adult,RXC_09_x_HCC048_041,Yes,2.454,2.573,2.695,2.872,2.877
Adult,RXC_10_x_HCC159_158,Yes,41.353,41.406,41.472,41.618,41.623
Child,MAGE_LAST_2_4,Yes,0.2876666666666667,0.19466666666666665,0.14600000000000002,0.10933333333333334,0.10766666666666667
Child,MAGE_LAST_5_9,Yes,0.21266666666666667,0.13233333333333333,0.09333333333333334,0.06933333333333334,0.06833333333333334
Child,MAGE_LAST_10_14,Yes,0.23566666666666666,0.15633333333333332,0.115,0.09166666666666667,0.09066666666666667
Child,MAGE_LAST_15_20,Yes,0.27066666666666667,0.18566666666666665,0.135,0.10133333333333333,0.10033333333333333
Child,FAGE_LAST_2_4,Yes,0.2333333333333333,0.1506666666666667,0.11266666666666668,0.08766666666666667,0.08666666666666667
Child,FAGE_LAST_5_9,Yes,0.16033333333333336,0.08700000000000001,0.05566666666666666,0.03666666666666667,0.036
Child,FAGE_LAST_10_14,Yes,0.2273333333333333,0.14900000000000002,0.11,0.08733333333333333,0.08633333333333333
Child,FAGE_LAST_15_20,Yes,0.3136666666666667,0.21,0.14500000000000002,0.09900000000000002,0.09733333333333334
Child,HHS_HCC001,Yes,4.490333333333333,3.999333333333334,3.762333333333333,3.6166666666666667,3.6146666666666665
Child,HHS_HCC002,Yes,14.896666666666667,14.668666666666667,14.535666666666666,14.439333333333332,14.437
Child,HHS_HCC003,Yes,13.638333333333334,13.469666666666667,13.359666666666667,13.292666666666667,13.290666666666667
Child,HHS_HCC004,Yes,11.963000000000001,11.849666666666666,11.767666666666665,11.643,11.642333333333333
Child,HHS_HCC006,Yes,17.169,17.087666666666667,16.997,16.907333333333334,16.903666666666666
Child,HHS_HCC008,Yes,33.749,33.46366666666666,33.32233333333333,33.26166666666666,33.261
Child,HHS_HCC009,Yes,9.374333333333333,9.094000000000001,8.929333333333332,8.807666666666668,8.804333333333334
Child,HHS_HCC010,Yes,7.293333333333334,7.0646666666666675,6.911333333333332,6.776666666666667,6.771999999999999
Child,HHS_HCC011,Yes,4.614999999999999,4.45,4.331333333333333,4.221,4.217
Child,HHS_HCC012,Yes,4.614999999999999,4.45,4.331333333333333,4.221,4.217
Child,HHS_HCC013,Yes,1.1713333333333333,1.0373333333333334,0.9249999999999999,0.8056666666666666,0.8016666666666667
Child,HHS_HCC018,Yes,11.106,11.019666666666666,10.973999999999998,10.939,10.937333333333335
Child,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC023,Yes,19.295333333333332,19.163,19.077666666666666,19.036666666666665,19.034666666666666
Child,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC028,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC029,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC030,Yes,5.553,5.284666666666666,5.146333333333334,5.0793333333333335,5.078
Child,HHS_HCC034,Yes,11.106,11.019666666666666,10.973999999999998,10.939,10.937333333333335
Child,HHS_HCC035_1,Yes,9.766666666666667,9.618666666666668,9.551,9.525,9.524000000000001
Child,HHS_HCC035_2,Yes,9.286333333333333,9.131,9.046666666666667,8.982999999999999,8.980333333333334
Child,HHS_HCC036,Yes,4.128333333333334,3.9899999999999998,3.9066666666666667,3.8476666666666666,3.848666666666667
Child,HHS_HCC037_1,Yes,1.1863333333333335,1.0456666666666667,0.961,0.9166666666666666,0.9166666666666666
Child,HHS_HCC037_2,Yes,0.19666666666666666,0.169,0.142,0.11133333333333334,0.11033333333333334
Child,HHS_HCC041,Yes,13.857666666666669,13.756333333333336,13.667000000000002,13.582,13.578666666666669
Child,HHS_HCC042,Yes,17.886,17.459,17.325333333333333,17.275666666666666,17.274666666666665
Child,HHS_HCC045,Yes,4.767333333333333,4.581666666666667,4.446333333333333,4.331666666666667,4.328666666666667
Child,HHS_HCC046,Yes,11.778,11.601333333333335,11.522,11.475999999999999,11.475666666666667
Child,HHS_HCC047,Yes,5.359999999999999,5.102333333333333,4.953,4.826333333333333,4.822666666666667
Child,HHS_HCC048,Yes,9.914666666666667,9.478333333333333,9.266,9.138666666666666,9.135
Child,HHS_HCC054,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC055,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC056,Yes,4.733,4.455666666666667,4.296,4.1946666666666665,4.192
Child,HHS_HCC057,Yes,0.7463333333333333,0.6186666666666666,0.5,0.37633333333333335,0.3716666666666666
Child,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC063,Yes,1.1740000000000002,1.0063333333333333,0.8813333333333334,0.7556666666666668,0.7520000000000001
Child,HHS_HCC066,Yes,67.99433333333333,67.47833333333334,67.24833333333333,67.16633333333333,67.16433333333333
Child,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC070,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC071,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC075,Yes,4.218333333333334,4.081666666666666,3.982333333333333,3.897,3.8943333333333334
Child,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC087_1,Yes,3.9909999999999997,3.6943333333333332,3.511333333333333,3.3503333333333334,3.3463333333333334
Child,HHS_HCC087_2,Yes,3.3953333333333333,3.1223333333333336,2.9406666666666665,2.7596666666666665,2.7546666666666666
Child,HHS_HCC088,Yes,2.638,2.413,2.243,2.0820000000000003,2.0766666666666667
Child,HHS_HCC090,Yes,0.37766666666666665,0.2703333333333333,0.155,0.041666666666666664,0.03833333333333333
Child,HHS_HCC094,Yes,2.4530000000000003,2.276666666666667,2.146666666666667,2.0340000000000003,2.0303333333333335
Child,HHS_HCC096,Yes,11.637,11.535333333333334,11.449999999999998,11.378333333333336,11.375666666666667
Child,HHS_HCC097,Yes,0.9823333333333334,0.8416666666666668,0.742,0.642,0.638
Child,HHS_HCC102,Yes,2.638,2.413,2.243,2.0820000000000003,2.0766666666666667
Child,HHS_HCC103,Yes,0.4043333333333334,0.314,0.222,0.1456666666666667,0.1436666666666667
Child,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC110,Yes,4.781666666666667,4.56,4.403666666666667,4.245666666666667,4.2396666666666665
Child,HHS_HCC111,Yes,50.056000000000004,49.779666666666664,49.63033333333334,49.54333333333333,49.539666666666676
Child,HHS_HCC112,Yes,0.9126666666666666,0.6513333333333333,0.5246666666666666,0.4403333333333333,0.4386666666666666
Child,HHS_HCC113,Yes,0.27366666666666667,0.12766666666666668,0.061,0.016666666666666666,0.015
Child,HHS_HCC114,Yes,1.7700000000000002,1.6303333333333334,1.5330000000000001,1.437,1.4340000000000002
Child,HHS_HCC115,Yes,11.126,10.940666666666665,10.858333333333334,10.829333333333333,10.829333333333333
Child,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC118,Yes,9.870333333333333,9.439,9.256,9.199333333333334,9.200333333333333
Child,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC120,Yes,1.6673333333333333,1.5086666666666666,1.368,1.2226666666666668,1.2176666666666667
Child,HHS_HCC121,Yes,11.085666666666668,11.068,11.035666666666666,11.015666666666668,11.014666666666669
Child,HHS_HCC122,Yes,10.655000000000001,10.694,10.707999999999998,10.736666666666666,10.736666666666666
Child,HHS_HCC123,Yes,4.295333333333333,4.101666666666667,3.9553333333333334,3.821,3.8160000000000003
Child,HHS_HCC125,Yes,27.17,26.905,26.768666666666665,26.706333333333333,26.705
Child,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC130,Yes,4.738333333333333,4.611666666666666,4.524333333333334,4.454,4.451666666666666
Child,HHS_HCC131,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC132,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC135,Yes,16.465,16.330333333333332,16.226,16.133666666666667,16.12966666666667
Child,HHS_HCC137,Yes,4.2010000000000005,4.021,3.874,3.7483333333333335,3.7439999999999998
Child,HHS_HCC138,Yes,1.119,1.0010000000000001,0.878,0.7773333333333333,0.7736666666666666
Child,HHS_HCC139,Yes,0.6910000000000002,0.5833333333333334,0.4883333333333333,0.41533333333333333,0.41333333333333333
Child,HHS_HCC142,Yes,3.2783333333333338,3.1056666666666666,2.985333333333333,2.886333333333333,2.883333333333333
Child,HHS_HCC145,Yes,12.841999999999999,12.666666666666666,12.542,12.439666666666668,12.435333333333332
Child,HHS_HCC146,Yes,1.6803333333333332,1.5053333333333334,1.3966666666666665,1.2933333333333334,1.2896666666666665
Child,HHS_HCC149,Yes,1.7449999999999999,1.5473333333333334,1.4163333333333334,1.2883333333333333,1.2830000000000001
Child,HHS_HCC150,Yes,5.876,5.733999999999999,5.649,5.573666666666667,5.570666666666667
Child,HHS_HCC151,Yes,3.202,3.049666666666667,2.9476666666666667,2.842333333333334,2.8379999999999996
Child,HHS_HCC153,Yes,10.987333333333334,10.722666666666667,10.584000000000001,10.49,10.487666666666668
Child,HHS_HCC154,Yes,7.36,7.213000000000001,7.13,7.077333333333333,7.077000000000001
Child,HHS_HCC156,Yes,19.94033333333333,19.772000000000002,19.661666666666665,19.581,19.578999999999997
Child,HHS_HCC158,Yes,13.857666666666669,13.756333333333336,13.667000000000002,13.582,13.578666666666669
Child,HHS_HCC159,Yes,46.37533333333334,45.821000000000005,45.59333333333333,45.55533333333333,45.556000000000004
Child,HHS_HCC160,Yes,1.8073333333333335,1.6286666666666667,1.4969999999999999,1.374666666666667,1.3716666666666668
Child,HHS_HCC161_1,Yes,1.269,1.0796666666666666,0.9186666666666667,0.762,0.7566666666666667
Child,HHS_HCC161_2,Yes,0.3466666666666667,0.25766666666666665,0.17200000000000001,0.104,0.10166666666666667
Child,HHS_HCC162,Yes,1.4743333333333333,1.3103333333333333,1.1696666666666669,1.0393333333333334,1.0353333333333332
Child,HHS_HCC163,Yes,10.655000000000001,10.694,10.707999999999998,10.736666666666666,10.736666666666666
Child,HHS_HCC183,Yes,11.106,11.019666666666666,10.973999999999998,10.939,10.937333333333335
Child,HHS_HCC184,Yes,37.12466666666666,36.89833333333333,36.80566666666667,36.785666666666664,36.78333333333333
Child,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
