obs,v08_hcc,hccs_to_zero,hcc_label
57,87_2,"88 ,90 ,102 ,103","Delusional and Other Specified Psychotic Disorders, Unspecified Psychosis"
58,88,"90 ,102 ,103","Major Depressive Disorder, Severe, and Bipolar Disorders"
59,90,,Personality Disorders
60,94,,Anorexia/Bulimia Nervosa
61,96,97,"Prader-Willi, Patau, Edwards, and Autosomal Deletion Syndromes"
62,97,,"Down Syndrome, Fragile X, Other Chromosomal Anomalies, and Congenital Malformation Syndromes"
63,102,"90 ,103",Autistic Disorder
64,103,90,"Pervasive Developmental Disorders, Except Autistic Disorder"
65,106,"107 ,108 ,109 ,110 ,150 ,151 ,228",Traumatic Complete Lesion Cervical Spinal Cord
66,107,"109 ,110 ,150 ,151 ,228",Quadriplegia
67,108,"109 ,110 ,151 ,228",Traumatic Complete Lesion Dorsal Spinal Cord
68,109,"110 ,151 ,228",Paraplegia
69,110,228,Spinal Cord Disorders/Injuries
70,111,,Amyotrophic Lateral Sclerosis and Other Anterior Horn Cell Disease
71,112,"107 ,109 ,110 ,113 ,150 ,151 ,228",Quadriplegic Cerebral Palsy
72,113,"107 ,109 ,110 ,150 ,151 ,228","Cerebral Palsy, Except Quadriplegic"
73,114,121,Spina Bifida and Other Brain/Spinal/Nervous System Congenital Anomalies
74,115,,Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy
75,117,,Muscular Dystrophy
76,118,,Multiple Sclerosis
77,119,,"Parkinson's, Huntington's, and Spinocerebellar Disease, and Other Neurodegenerative Disorders"
78,120,,Seizure Disorders and Convulsions
79,121,,Hydrocephalus
80,122,,"Nontraumatic Coma, Except Diabetic, Hepatic, or Hypoglycemic; Nontraumatic Brain Compression/Anoxic Damage"
81,123,,Narcolepsy and Cataplexy
82,125,"126 ,127",Respirator Dependence/Tracheostomy Status
83,126,127,Respiratory Arrest
84,127,,"Cardio-Respiratory Failure and Shock, Including Respiratory Distress Syndromes"
85,128,"129 ,130",Heart Assistive Device/Artificial Heart
86,129,130,Heart Transplant Status/Complications
87,130,,Heart Failure
88,131,132,Acute Myocardial Infarction
89,132,,Unstable Angina and Other Acute Ischemic Heart Disease
90,135,,"Heart Infection/Inflammation, Except Rheumatic"
91,137,"138 ,139",Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders
92,138,139,Major Congenital Heart/Circulatory Disorders
93,139,,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders"
94,142,,Specified Heart Arrhythmias
95,145,"146 ,149",Intracranial Hemorrhage
96,146,,Ischemic or Unspecified Stroke
97,149,,Cerebral Aneurysm and Arteriovenous Malformation
98,150,151,Hemiplegia/Hemiparesis
99,151,,"Monoplegia, Other Paralytic Syndromes"
100,153,"217 ,234 ,254",Atherosclerosis of the Extremities with Ulceration or Gangrene
101,154,,Vascular Disease with Complications
102,156,,Pulmonary Embolism and Deep Vein Thrombosis
103,158,"159 ,160 ,161_1 ,161_2 ,162",Lung Transplant Status/Complications
104,159,"160 ,161_1 ,161_2",Cystic Fibrosis
105,160,"161_1 ,161_2","Chronic Obstructive Pulmonary Disease, Including Bronchiectasis"
106,161_1,161_2,Severe Asthma
107,161_2,,"Asthma, Except Severe"
108,162,"161_1 ,161_2",Fibrosis of Lung and Other Lung Disorders
109,163,,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections
110,174,,Exudative Macular Degeneration
111,183,"184 ,187 ,188",Kidney Transplant Status/Complications
112,184,"187 ,188",End Stage Renal Disease
113,187,188,"Chronic Kidney Disease, Stage 5"
114,188,,"Chronic Kidney Disease, Severe (Stage 4)"
115,203,"204 ,205 ,210 ,211 ,212",Ectopic and Molar Pregnancy
116,204,"205 ,210 ,211 ,212",Miscarriage with Complications
117,205,"210 ,211 ,212",Miscarriage with No or Minor Complications
118,207,"203 ,204 ,205 ,208 ,209 ,210 ,211 ,212",Pregnancy with Delivery with Major Complications
119,208,"209 ,210 ,211 ,212",Pregnancy with Delivery with Complications
120,209,"210 ,211 ,212",Pregnancy with Delivery with No or Minor Complications
121,210,"211 ,212",(Ongoing) Pregnancy without Delivery with Major Complications
122,211,212,(Ongoing) Pregnancy without Delivery with Complications
123,212,,(Ongoing) Pregnancy without Delivery with No or Minor Complications
124,217,,"Chronic Ulcer of Skin, Except Pressure"
125,218,219,Extensive Third Degree Burns
126,219,,Major Skin Burn or Condition
127,223,122,Severe Head Injury
128,226,,Hip and Pelvic Fractures
129,228,,Vertebral Fractures without Spinal Cord Injury
130,234,254,Traumatic Amputations and Amputation Complications
131,242,"243 ,244 ,245 ,246 ,247 ,248 ,249","Extremely Immature Newborns, Birthweight < 500 Grams"
132,243,"244 ,245 ,246 ,247 ,248 ,249","Extremely Immature Newborns, Including Birthweight 500-749 Grams"
133,244,"245 ,246 ,247 ,248 ,249","Extremely Immature Newborns, Including Birthweight 750-999 Grams"
134,245,"246 ,247 ,248 ,249","Premature Newborns, Including Birthweight 1000-1499 Grams"
135,246,"247 ,248 ,249","Premature Newborns, Including Birthweight 1500-1999 Grams"
136,247,"248 ,249","Premature Newborns, Including Birthweight 2000-2499 Grams"
137,248,249,"Other Premature, Low Birthweight, Malnourished, or Multiple Birth Newborns"
138,249,,"Term or Post-Term Singleton Newborn, Normal or High Birthweight"
139,251,,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
140,253,,Artificial Openings for Feeding or Elimination
141,254,,"Amputation Status, Upper Limb or Lower Limb"
