model,variable,variable_used_in_risk_score_formula?,platinum_level,gold_level,silver_level,bronze_level,catastrophic_level
Adult,HHS_HCC070,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC071,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC075,Yes,2.676,2.579,2.512,2.462,2.462
Adult,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC087_1,Yes,2.753,2.495,2.337,2.198,2.197
Adult,HHS_HCC087_2,Yes,2.753,2.495,2.337,2.198,2.197
Adult,HHS_HCC088,Yes,1.451,1.269,1.148,0.99,0.988
Adult,HHS_HCC090,Yes,1.118,0.973,0.868,0.708,0.706
Adult,HHS_HCC094,Yes,2.535,2.347,2.217,2.111,2.11
Adult,HHS_HCC096,Yes,6.867,6.798,6.754,6.719,6.719
Adult,HHS_HCC097,Yes,1.465,1.36,1.291,1.213,1.213
Adult,HHS_HCC102,Yes,1.233,1.101,1.001,0.855,0.853
Adult,HHS_HCC103,Yes,1.118,0.973,0.868,0.708,0.706
Adult,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC110,Yes,5.554,5.29,5.113,5.046,5.045
Adult,HHS_HCC111,Yes,3.483,3.227,3.066,2.922,2.921
Adult,HHS_HCC112,Yes,1.228,1.023,0.896,0.793,0.792
Adult,HHS_HCC113,Yes,0.79,0.669,0.591,0.485,0.484
Adult,HHS_HCC114,Yes,1.44,1.291,1.195,1.104,1.103
Adult,HHS_HCC115,Yes,5.206,5.076,4.99,4.968,4.968
Adult,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC118,Yes,3.067,2.846,2.697,2.581,2.579
Adult,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC120,Yes,1.127,0.966,0.864,0.743,0.742
Adult,HHS_HCC121,Yes,8.55,8.413,8.312,8.283,8.283
Adult,HHS_HCC122,Yes,8.106,7.94,7.82,7.815,7.815
Adult,HHS_HCC123,Yes,5.493,5.278,5.126,4.993,4.991
Adult,HHS_HCC125,Yes,22.579,22.543,22.502,22.636,22.637
Adult,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC130,Yes,2.504,2.392,2.319,2.293,2.294
Adult,HHS_HCC131,Yes,6.734,6.432,6.229,6.269,6.269
Adult,HHS_HCC132,Yes,5.072,4.742,4.547,4.501,4.501
Adult,HHS_HCC135,Yes,5.894,5.76,5.672,5.631,5.631
Adult,HHS_HCC137,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC138,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC139,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC142,Yes,2.377,2.219,2.113,2.01,2.013
Adult,HHS_HCC145,Yes,6.968,6.683,6.503,6.435,6.435
Adult,HHS_HCC146,Yes,1.699,1.539,1.449,1.389,1.388
Adult,HHS_HCC149,Yes,2.68,2.482,2.357,2.254,2.252
Adult,HHS_HCC150,Yes,4.341,4.222,4.143,4.185,4.186
Adult,HHS_HCC151,Yes,3.096,2.952,2.86,2.793,2.793
Adult,HHS_HCC153,Yes,8.982,8.883,8.804,8.93,8.932
Adult,HHS_HCC154,Yes,6.871,6.713,6.603,6.596,6.596
Adult,HHS_HCC156,Yes,3.641,3.471,3.362,3.268,3.267
Adult,HHS_HCC158,Yes,22.929,22.771,22.66,22.709,22.708
Adult,HHS_HCC159,Yes,4.51,4.21,4.008,3.895,3.894
Adult,HHS_HCC160,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_1,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC161_2,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC162,Yes,1.959,1.836,1.757,1.683,1.683
Adult,HHS_HCC163,Yes,6.747,6.743,6.732,6.79,6.79
Adult,HHS_HCC174,Yes,1.677,1.475,1.353,1.194,1.192
Adult,HHS_HCC183,Yes,6.265,6.026,5.875,5.769,5.772
Adult,HHS_HCC184,Yes,24.144,23.811,23.568,23.761,23.793
Adult,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC203,Yes,2.255,1.919,1.73,1.409,1.405
Adult,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Adult,HHS_HCC209,Yes,3.124,2.721,2.521,1.996,1.989
Adult,HHS_HCC210,Yes,1.29,1.071,0.902,0.607,0.603
Adult,HHS_HCC211,Yes,0.849,0.692,0.55,0.332,0.329
Adult,HHS_HCC212,Yes,0.35,0.266,0.188,0.099,0.098
Adult,HHS_HCC217,Yes,1.972,1.849,1.771,1.738,1.737
Adult,HHS_HCC218,Yes,20.152,19.796,19.554,19.486,19.486
Adult,HHS_HCC219,Yes,2.998,2.836,2.727,2.645,2.644
Adult,HHS_HCC223,Yes,15.904,15.755,15.643,15.589,15.588
Adult,HHS_HCC226,Yes,8.839,8.537,8.33,8.346,8.346
Adult,HHS_HCC228,Yes,5.124,4.891,4.739,4.633,4.632
Adult,HHS_HCC234,Yes,5.65,5.457,5.331,5.344,5.345
Adult,HHS_HCC251,Yes,25.463,25.453,25.438,25.471,25.471
Adult,HHS_HCC253,Yes,7.551,7.462,7.394,7.445,7.446
Adult,HHS_HCC254,Yes,2.117,1.967,1.878,1.843,1.842
Adult,G01,Yes,0.443,0.365,0.31,0.24,0.239
Adult,G02B,Yes,29.311,29.055,28.869,28.885,28.886
Adult,G04,Yes,2.549,2.333,2.19,2.084,2.083
Adult,G06A,Yes,14.302,14.164,14.071,14.057,14.056
Adult,G07A,Yes,2.754,2.596,2.491,2.398,2.397
Adult,G08,Yes,4.881,4.75,4.663,4.646,4.646
Adult,G09A,Yes,2.766,2.511,2.345,2.155,2.153
Adult,G09C,Yes,1.319,1.132,1.016,0.891,0.89
Adult,G10,Yes,11.91,11.74,11.625,11.59,11.59
Adult,G11,Yes,8.076,7.879,7.747,7.687,7.686
Adult,G12,Yes,1.822,1.661,1.557,1.422,1.42
Adult,G13,Yes,6.86,6.69,6.578,6.673,6.675
Adult,G14,Yes,27.909,27.681,27.528,27.553,27.555
Adult,G21,Yes,2.659,2.526,2.431,2.351,2.35
Adult,G15A,Yes,0.822,0.69,0.597,0.468,0.467
Adult,G16,Yes,0.99,0.934,0.898,0.916,0.916
Adult,G17A,Yes,0.884,0.729,0.606,0.352,0.348
Adult,G18A,Yes,4.389,3.861,3.61,3.162,3.157
Adult,INT_GROUP_H,Yes,6.378,6.609,6.741,6.928,6.93
Adult,ED_1,Yes,0.277,0.235,0.214,0.195,0.195
Adult,ED_2,Yes,0.265,0.222,0.202,0.184,0.183
Adult,ED_3,Yes,0.265,0.221,0.198,0.18,0.18
Adult,ED_4,Yes,0.215,0.175,0.153,0.138,0.138
Adult,ED_5,Yes,0.202,0.166,0.144,0.129,0.129
Adult,ED_6,Yes,0.168,0.137,0.117,0.103,0.103
Adult,ED_7,Yes,0.127,0.103,0.087,0.075,0.075
Adult,ED_8,Yes,0.087,0.07,0.058,0.049,0.049
Adult,ED_9,Yes,0.048,0.037,0.029,0.022,0.022
Adult,ED_10,Yes,0.003,0.001,0.0,0.0,0.0
Adult,ED_11,Yes,0.001,0.0,0.0,0.0,0.0
Adult,RXC_01,Yes,8.253,7.44,6.913,6.439,6.435
Adult,RXC_02,Yes,7.412,6.748,6.336,6.304,6.306
Adult,RXC_03,Yes,0.118,0.108,0.105,0.07,0.051
Adult,RXC_04,Yes,1.905,1.914,1.905,1.854,1.788
Adult,RXC_05,Yes,2.277,2.061,1.925,1.685,1.682
Adult,RXC_06,Yes,1.678,1.459,1.291,1.038,1.035
Adult,RXC_07,Yes,0.829,0.679,0.576,0.377,0.375
Adult,RXC_08,Yes,22.24,21.033,20.257,19.972,19.972
Adult,RXC_09,Yes,13.852,13.222,12.786,12.825,12.825
Adult,RXC_10,Yes,16.999,16.546,16.256,16.295,16.297
Adult,RXC_01_x_HCC001,Yes,1.925,2.174,2.308,2.899,2.906
Adult,RXC_02_x_HCC037_1_036_035_2_035_1_034,Yes,-0.682,-0.506,-0.405,-0.242,-0.241
Adult,RXC_03_x_HCC142,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_04_x_HCC184_183_187_188,Yes,0.0,0.0,0.0,0.0,0.0
Adult,RXC_05_x_HCC048_041,Yes,-1.115,-1.02,-0.953,-0.887,-0.886
Adult,RXC_06_x_HCC018_019_020_021,Yes,0.314,0.313,0.357,0.407,0.407
Adult,RXC_07_x_HCC018_019_020_021,Yes,-0.443,-0.365,-0.31,-0.24,-0.239
Adult,RXC_08_x_HCC118,Yes,-0.442,0.232,0.619,1.125,1.128
Adult,RXC_09_x_HCC056_057_and_048_041,Yes,0.611,0.74,0.815,0.927,0.928
Adult,RXC_09_x_HCC056,Yes,-0.809,-0.695,-0.614,-0.492,-0.491
Adult,RXC_09_x_HCC057,Yes,-0.682,-0.547,-0.453,-0.308,-0.306
Adult,RXC_09_x_HCC048_041,Yes,-0.178,-0.13,-0.1,-0.052,-0.052
Adult,RXC_10_x_HCC159_158,Yes,43.974,44.07,44.079,44.259,44.259
Child,MAGE_LAST_2_4,Yes,0.22,0.163,0.124,0.075,0.075
Child,MAGE_LAST_5_9,Yes,0.157,0.11,0.078,0.044,0.044
Child,MAGE_LAST_10_14,Yes,0.186,0.137,0.102,0.068,0.067
Child,MAGE_LAST_15_20,Yes,0.229,0.172,0.13,0.08,0.08
Child,FAGE_LAST_2_4,Yes,0.166,0.119,0.089,0.055,0.055
Child,FAGE_LAST_5_9,Yes,0.108,0.068,0.043,0.016,0.016
Child,FAGE_LAST_10_14,Yes,0.175,0.129,0.097,0.065,0.065
Child,FAGE_LAST_15_20,Yes,0.252,0.182,0.131,0.068,0.067
Child,HHS_HCC001,Yes,5.603,5.033,4.666,4.493,4.492
Child,HHS_HCC002,Yes,13.484,13.246,13.108,13.078,13.078
Child,HHS_HCC003,Yes,8.29,8.094,7.963,7.965,7.965
Child,HHS_HCC004,Yes,2.773,2.518,2.375,2.17,2.168
Child,HHS_HCC006,Yes,15.261,15.218,15.186,15.159,15.159
Child,HHS_HCC008,Yes,36.724,36.405,36.165,36.174,36.174
Child,HHS_HCC009,Yes,9.371,9.048,8.828,8.706,8.705
Child,HHS_HCC010,Yes,7.314,7.01,6.806,6.653,6.651
Child,HHS_HCC011,Yes,4.361,4.154,4.012,3.867,3.866
Child,HHS_HCC012,Yes,4.361,4.154,4.012,3.867,3.866
Child,HHS_HCC013,Yes,0.989,0.834,0.731,0.583,0.58
Child,HHS_HCC018,Yes,8.948,8.708,8.557,8.447,8.445
Child,HHS_HCC019,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC020,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC021,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC023,Yes,14.038,13.923,13.835,13.878,13.878
Child,HHS_HCC026,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC027,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC028,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC029,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC030,Yes,6.602,6.31,6.104,6.053,6.053
Child,HHS_HCC034,Yes,8.948,8.708,8.557,8.447,8.445
Child,HHS_HCC035_1,Yes,18.668,18.625,18.588,18.712,18.713
Child,HHS_HCC035_2,Yes,14.304,14.162,14.079,14.05,14.049
Child,HHS_HCC036,Yes,4.147,4.05,3.993,3.937,3.938
Child,HHS_HCC037_1,Yes,2.762,2.565,2.434,2.433,2.433
Child,HHS_HCC037_2,Yes,0.138,0.084,0.048,0.001,0.0
Child,HHS_HCC041,Yes,17.547,17.482,17.438,17.455,17.454
Child,HHS_HCC042,Yes,12.266,11.922,11.693,11.675,11.675
Child,HHS_HCC045,Yes,5.212,4.977,4.819,4.69,4.688
Child,HHS_HCC046,Yes,12.734,12.493,12.331,12.344,12.345
Child,HHS_HCC047,Yes,7.448,7.17,6.999,6.869,6.867
Child,HHS_HCC048,Yes,9.111,8.611,8.276,8.121,8.119
Child,HHS_HCC054,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC055,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC056,Yes,4.962,4.653,4.437,4.328,4.326
Child,HHS_HCC057,Yes,0.69,0.537,0.426,0.268,0.265
Child,HHS_HCC061,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC062,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC063,Yes,1.322,1.114,0.987,0.824,0.822
Child,HHS_HCC066,Yes,72.647,71.996,71.537,71.491,71.49
Child,HHS_HCC067,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC068,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC069,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC070,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC071,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC073,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC074,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC075,Yes,4.683,4.534,4.433,4.336,4.335
Child,HHS_HCC081,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC082,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC083,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC084,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC087_1,Yes,4.812,4.415,4.164,3.968,3.966
Child,HHS_HCC087_2,Yes,3.165,2.866,2.67,2.46,2.457
Child,HHS_HCC088,Yes,2.812,2.539,2.353,2.147,2.144
Child,HHS_HCC090,Yes,0.477,0.362,0.266,0.119,0.117
Child,HHS_HCC094,Yes,2.255,2.026,1.862,1.728,1.726
Child,HHS_HCC096,Yes,1.693,1.535,1.436,1.345,1.344
Child,HHS_HCC097,Yes,1.458,1.293,1.186,1.075,1.074
Child,HHS_HCC102,Yes,2.812,2.539,2.353,2.147,2.144
Child,HHS_HCC103,Yes,0.477,0.372,0.285,0.157,0.156
Child,HHS_HCC106,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC107,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC108,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC109,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC110,Yes,4.126,3.883,3.719,3.573,3.571
Child,HHS_HCC111,Yes,31.975,31.651,31.415,31.321,31.319
Child,HHS_HCC112,Yes,3.779,3.55,3.42,3.412,3.412
Child,HHS_HCC113,Yes,0.722,0.549,0.439,0.291,0.29
Child,HHS_HCC114,Yes,2.283,2.128,2.027,1.947,1.945
Child,HHS_HCC115,Yes,11.29,11.112,10.986,11.014,11.014
Child,HHS_HCC117,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC118,Yes,12.636,12.134,11.789,11.775,11.775
Child,HHS_HCC119,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC120,Yes,2.135,1.947,1.812,1.641,1.639
Child,HHS_HCC121,Yes,4.775,4.653,4.565,4.528,4.528
Child,HHS_HCC122,Yes,4.751,4.6,4.495,4.439,4.438
Child,HHS_HCC123,Yes,4.851,4.625,4.463,4.279,4.276
Child,HHS_HCC125,Yes,32.716,32.625,32.545,32.756,32.759
Child,HHS_HCC126,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC127,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC128,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC129,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC130,Yes,6.118,5.99,5.9,5.851,5.85
Child,HHS_HCC131,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC132,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC135,Yes,12.197,12.075,11.987,11.972,11.972
Child,HHS_HCC137,Yes,3.968,3.764,3.605,3.473,3.471
Child,HHS_HCC138,Yes,1.255,1.125,1.015,0.888,0.887
Child,HHS_HCC139,Yes,0.81,0.695,0.605,0.511,0.51
Child,HHS_HCC142,Yes,3.626,3.433,3.291,3.194,3.193
Child,HHS_HCC145,Yes,10.79,10.577,10.441,10.421,10.422
Child,HHS_HCC146,Yes,2.863,2.77,2.718,2.712,2.712
Child,HHS_HCC149,Yes,3.432,3.208,3.061,2.954,2.953
Child,HHS_HCC150,Yes,6.584,6.441,6.347,6.295,6.293
Child,HHS_HCC151,Yes,4.034,3.859,3.747,3.658,3.656
Child,HHS_HCC153,Yes,12.742,12.479,12.307,12.234,12.234
Child,HHS_HCC154,Yes,10.61,10.513,10.434,10.472,10.473
Child,HHS_HCC156,Yes,17.069,16.94,16.853,16.872,16.872
Child,HHS_HCC158,Yes,17.547,17.482,17.438,17.455,17.454
Child,HHS_HCC159,Yes,45.538,44.907,44.453,44.456,44.456
Child,HHS_HCC160,Yes,2.953,2.772,2.647,2.506,2.505
Child,HHS_HCC161_1,Yes,0.868,0.64,0.484,0.249,0.246
Child,HHS_HCC161_2,Yes,0.328,0.242,0.171,0.076,0.075
Child,HHS_HCC162,Yes,1.729,1.626,1.545,1.453,1.452
Child,HHS_HCC163,Yes,6.659,6.603,6.558,6.581,6.582
Child,HHS_HCC183,Yes,8.948,8.708,8.557,8.447,8.445
Child,HHS_HCC184,Yes,42.547,42.36,42.214,42.35,42.352
Child,HHS_HCC187,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC188,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC203,Yes,2.094,1.759,1.571,1.261,1.258
Child,HHS_HCC204,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC205,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC207,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC208,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC209,Yes,2.59,2.223,2.018,1.446,1.437
Child,HHS_HCC210,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC211,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC212,Yes,0.34,0.236,0.14,0.012,0.011
Child,HHS_HCC217,Yes,2.919,2.803,2.714,2.629,2.628
Child,HHS_HCC218,Yes,16.817,16.56,16.374,16.346,16.345
Child,HHS_HCC219,Yes,2.168,1.974,1.851,1.712,1.71
Child,HHS_HCC223,Yes,16.817,16.56,16.374,16.346,16.345
Child,HHS_HCC226,Yes,4.702,4.418,4.217,4.09,4.089
Child,HHS_HCC228,Yes,4.092,3.834,3.657,3.474,3.471
Child,HHS_HCC234,Yes,0.0,0.0,0.0,0.0,0.0
Child,HHS_HCC251,Yes,17.547,17.482,17.438,17.455,17.454
Child,HHS_HCC253,Yes,10.632,10.491,10.398,10.506,10.508
Child,HHS_HCC254,Yes,0.0,0.0,0.0,0.0,0.0
Child,G01,Yes,2.867,2.442,2.226,1.815,1.811
Child,G02B,Yes,40.874,40.528,40.287,40.269,40.269
Child,G02D,Yes,5.675,5.53,5.429,5.353,5.353
Child,G03,Yes,3.741,3.486,3.313,3.206,3.204
Child,G04,Yes,1.381,1.244,1.149,1.052,1.051
Child,G06A,Yes,15.732,15.527,15.389,15.351,15.351
Child,G07A,Yes,5.357,5.072,4.881,4.742,4.741
Child,G08,Yes,5.948,5.765,5.638,5.578,5.578
Child,G09A,Yes,3.091,2.844,2.69,2.528,2.527
Child,G09C,Yes,1.188,0.981,0.85,0.697,0.696
Child,G10,Yes,12.232,12.027,11.887,11.887,11.888
Child,G11,Yes,9.538,9.245,9.056,8.972,8.971
Child,G12,Yes,4.593,4.373,4.232,4.1,4.1
Child,G13,Yes,10.845,10.562,10.389,10.357,10.357
Child,G14,Yes,17.547,17.482,17.438,17.455,17.454
Child,G23,Yes,2.68,2.584,2.533,2.525,2.524
Child,G16,Yes,4.723,4.566,4.462,4.327,4.325
Child,G17A,Yes,0.787,0.62,0.484,0.218,0.215
Child,G18A,Yes,3.787,3.28,3.025,2.487,2.48
Child,G19B,Yes,0.697,0.519,0.375,0.156,0.154
Child,G22,Yes,4.791,4.509,4.334,4.163,4.161
Infant,EXTREMELY_IMMATURE_X_SEVERITY5,Yes,234.247,232.335,230.986,230.901,230.901
Infant,EXTREMELY_IMMATURE_X_SEVERITY4,Yes,147.335,145.263,143.835,143.511,143.508
Infant,EXTREMELY_IMMATURE_X_SEVERITY3,Yes,33.631,32.115,31.09,30.663,30.658
Infant,EXTREMELY_IMMATURE_X_SEVERITY2,Yes,33.631,32.115,31.09,30.663,30.658
Infant,EXTREMELY_IMMATURE_X_SEVERITY1,Yes,33.631,32.115,31.09,30.663,30.658
Infant,IMMATURE_X_SEVERITY5,Yes,135.262,133.35,132.009,131.845,131.843
Infant,IMMATURE_X_SEVERITY4,Yes,70.934,69.161,67.926,67.603,67.599
Infant,IMMATURE_X_SEVERITY3,Yes,33.631,32.115,31.09,30.663,30.658
Infant,IMMATURE_X_SEVERITY2,Yes,26.462,25.052,24.092,23.617,23.611
Infant,IMMATURE_X_SEVERITY1,Yes,26.462,25.052,24.092,23.617,23.611
Infant,PREMATURE_MULTIPLES_X_SEVERITY5,Yes,112.502,110.869,109.723,109.524,109.521
Infant,PREMATURE_MULTIPLES_X_SEVERITY4,Yes,29.635,28.13,27.115,26.667,26.663
Infant,PREMATURE_MULTIPLES_X_SEVERITY3,Yes,14.762,13.614,12.86,12.196,12.188
Infant,PREMATURE_MULTIPLES_X_SEVERITY2,Yes,8.408,7.584,7.016,6.27,6.261
